rewards,lengths,energy,recharges,targets
3.055403888614765947e+03,4.400000000000000000e+01,1.760000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00
3.138838919967767197e+03,2.100000000000000000e+01,8.400000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.565423068023131918e+02,1.010000000000000000e+02,4.040000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.264923574223182641e+03,8.500000000000000000e+01,3.400000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00
-9.162494541277487770e+01,1.010000000000000000e+02,4.040000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-2.589669158150465478e+02,1.010000000000000000e+02,4.040000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.017200462635904046e+01,1.010000000000000000e+02,4.040000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.011542788098227447e+03,1.000000000000000000e+02,4.000000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00
2.833130070421057553e+03,7.800000000000000000e+01,3.120000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00
3.262578173243760375e+03,1.900000000000000000e+01,7.600000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
-2.188907282472721647e+02,1.010000000000000000e+02,4.040000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-1.296530758731706712e+01,1.010000000000000000e+02,4.040000000000000000e+02,4.000000000000000000e+00,0.000000000000000000e+00
2.538972733386197547e+02,1.010000000000000000e+02,4.040000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.182000441987157870e+02,1.010000000000000000e+02,4.040000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.795312091648693240e+03,8.700000000000000000e+01,3.480000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00
3.065716935268949328e+02,1.010000000000000000e+02,4.040000000000000000e+02,3.000000000000000000e+00,0.000000000000000000e+00
2.887403283288753755e+03,4.200000000000000000e+01,1.680000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00
9.039829216228743007e+02,1.010000000000000000e+02,4.040000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.844039297045366084e+02,1.010000000000000000e+02,4.040000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.213995157442243453e+03,2.200000000000000000e+01,8.800000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
3.103273844087527323e+03,3.500000000000000000e+01,1.400000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00
2.467167338264554743e+01,1.010000000000000000e+02,4.040000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.983096429802909825e+03,5.700000000000000000e+01,2.280000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00
3.059828357816117659e+03,7.100000000000000000e+01,2.840000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00
2.797893199035079306e+03,8.900000000000000000e+01,3.560000000000000000e+02,7.000000000000000000e+00,1.000000000000000000e+00
3.220836803231058184e+03,9.400000000000000000e+01,3.760000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00
2.421390875830572327e+02,1.010000000000000000e+02,4.040000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
6.779408857488110698e+02,1.010000000000000000e+02,4.040000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.065050713914381504e+02,1.010000000000000000e+02,4.040000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.672940169140830676e+03,9.600000000000000000e+01,3.840000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00
-9.073973881510497108e+01,1.010000000000000000e+02,4.040000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00
2.843083858347297337e+03,5.800000000000000000e+01,2.320000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00
3.175092121025728829e+03,4.400000000000000000e+01,1.760000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00
2.663327801451524692e+02,1.010000000000000000e+02,4.040000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.596430232251099710e+02,1.010000000000000000e+02,4.040000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.159129799198311048e+03,1.200000000000000000e+01,4.800000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
-3.217636433107660565e+01,1.010000000000000000e+02,4.040000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-1.179242139550198516e+02,1.010000000000000000e+02,4.040000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.044582527251543070e+03,3.900000000000000000e+01,1.560000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00
2.919668077371371510e+03,9.800000000000000000e+01,3.920000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00
1.294340042891555811e+02,1.010000000000000000e+02,4.040000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.820793423694522971e+03,7.100000000000000000e+01,2.840000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00
4.387010737380245473e+02,1.010000000000000000e+02,4.040000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.159484619351608671e+03,4.800000000000000000e+01,1.920000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00
3.250721694455055058e+03,1.700000000000000000e+01,6.800000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.905254730911002298e+03,5.100000000000000000e+01,2.040000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00
-2.326341504901842256e+02,1.010000000000000000e+02,4.040000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.704517541344219353e+03,9.800000000000000000e+01,3.920000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00
8.997348283179456985e+01,1.010000000000000000e+02,4.040000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.031201830782037177e+03,5.300000000000000000e+01,2.120000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00
2.893594733805664873e+03,6.600000000000000000e+01,2.640000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00
5.058011857810159881e+02,1.010000000000000000e+02,4.040000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-1.820506388978749897e+02,1.010000000000000000e+02,4.040000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.179021485914021923e+03,4.800000000000000000e+01,1.920000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00
1.242155028151519858e+01,1.010000000000000000e+02,4.040000000000000000e+02,9.000000000000000000e+00,0.000000000000000000e+00
1.341995501496578811e+02,1.010000000000000000e+02,4.040000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.000870989852573985e+03,5.900000000000000000e+01,2.360000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00
3.206696880561964463e+03,2.400000000000000000e+01,9.600000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
-1.761741831409505110e+01,1.010000000000000000e+02,4.040000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-7.489661219548025883e+01,1.010000000000000000e+02,4.040000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.860929723583643863e+03,9.000000000000000000e+01,3.600000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00
3.384471697286845028e+03,7.000000000000000000e+00,2.800000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
3.380300166917736078e+03,4.000000000000000000e+00,1.600000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
