rewards,lengths,targets
1.633944740210682767e+03,1.140000000000000000e+02,1.000000000000000000e+00
1.675814277302688424e+03,1.000000000000000000e+02,1.000000000000000000e+00
4.061751665264074518e+01,3.010000000000000000e+02,0.000000000000000000e+00
1.982545376904121895e+03,7.000000000000000000e+00,1.000000000000000000e+00
1.655816441557890585e+03,1.080000000000000000e+02,1.000000000000000000e+00
1.843143800557546228e+03,4.900000000000000000e+01,1.000000000000000000e+00
1.989928864895950483e+03,5.000000000000000000e+00,1.000000000000000000e+00
1.698919960646771187e+03,9.400000000000000000e+01,1.000000000000000000e+00
1.975421795851036904e+03,9.000000000000000000e+00,1.000000000000000000e+00
2.977162258111251703e+01,3.010000000000000000e+02,0.000000000000000000e+00
1.041094538620884350e+03,2.960000000000000000e+02,1.000000000000000000e+00
1.703528928764023021e+03,9.200000000000000000e+01,1.000000000000000000e+00
1.309969706581762011e+03,2.120000000000000000e+02,1.000000000000000000e+00
1.691548869422918415e+03,9.600000000000000000e+01,1.000000000000000000e+00
4.896561156830855310e+01,3.010000000000000000e+02,0.000000000000000000e+00
1.841015126065807408e+03,5.000000000000000000e+01,1.000000000000000000e+00
1.861661612713577370e+03,4.300000000000000000e+01,1.000000000000000000e+00
1.540235691675027510e+03,1.420000000000000000e+02,1.000000000000000000e+00
1.510053864980855451e+03,1.540000000000000000e+02,1.000000000000000000e+00
1.085492677625746410e+03,2.860000000000000000e+02,1.000000000000000000e+00
1.396466729455373297e+03,1.900000000000000000e+02,1.000000000000000000e+00
1.595817978376730935e+03,1.270000000000000000e+02,1.000000000000000000e+00
1.931790759600481351e+03,2.200000000000000000e+01,1.000000000000000000e+00
1.466830438723605539e+03,1.660000000000000000e+02,1.000000000000000000e+00
1.882008262784134558e+03,3.700000000000000000e+01,1.000000000000000000e+00
1.928554077830566257e+03,2.300000000000000000e+01,1.000000000000000000e+00
1.746209196251799995e+03,7.900000000000000000e+01,1.000000000000000000e+00
1.836735580570233651e+03,5.200000000000000000e+01,1.000000000000000000e+00
1.566458939736196953e+03,1.350000000000000000e+02,1.000000000000000000e+00
1.986184546631512376e+03,6.000000000000000000e+00,1.000000000000000000e+00
1.247100360483987060e+03,2.340000000000000000e+02,1.000000000000000000e+00
1.665688297634191940e+03,1.040000000000000000e+02,1.000000000000000000e+00
1.790284820084192916e+03,6.600000000000000000e+01,1.000000000000000000e+00
1.183210706048215116e+03,2.540000000000000000e+02,1.000000000000000000e+00
4.686188890638198501e+01,3.010000000000000000e+02,0.000000000000000000e+00
1.149482928871224658e+03,2.670000000000000000e+02,1.000000000000000000e+00
1.860078241535133429e+03,4.400000000000000000e+01,1.000000000000000000e+00
1.910692163435133580e+03,2.800000000000000000e+01,1.000000000000000000e+00
1.570720217896616305e+03,1.340000000000000000e+02,1.000000000000000000e+00
1.286813504440812494e+03,2.230000000000000000e+02,1.000000000000000000e+00
4.412467420607514157e+01,3.010000000000000000e+02,0.000000000000000000e+00
1.740602111579187977e+03,8.000000000000000000e+01,1.000000000000000000e+00
1.108887000134937352e+03,2.770000000000000000e+02,1.000000000000000000e+00
1.179721895501713789e+03,2.570000000000000000e+02,1.000000000000000000e+00
1.170156638228006386e+03,2.570000000000000000e+02,1.000000000000000000e+00
1.903078200680764894e+03,3.100000000000000000e+01,1.000000000000000000e+00
1.240096941795582325e+03,2.380000000000000000e+02,1.000000000000000000e+00
1.100487531585472425e+03,2.840000000000000000e+02,1.000000000000000000e+00
1.114325034040938817e+03,2.770000000000000000e+02,1.000000000000000000e+00
1.996841065975030006e+03,3.000000000000000000e+00,1.000000000000000000e+00
1.156331291375150613e+03,2.650000000000000000e+02,1.000000000000000000e+00
3.106387292489513996e+01,3.010000000000000000e+02,0.000000000000000000e+00
2.000099999999999909e+03,1.000000000000000000e+00,1.000000000000000000e+00
1.827403357133514419e+03,5.400000000000000000e+01,1.000000000000000000e+00
3.728822137021585092e+01,3.010000000000000000e+02,0.000000000000000000e+00
1.495827062275631533e+03,1.570000000000000000e+02,1.000000000000000000e+00
1.661058584648857277e+03,1.040000000000000000e+02,1.000000000000000000e+00
1.794704820387732752e+03,6.400000000000000000e+01,1.000000000000000000e+00
1.528564393439231935e+03,1.460000000000000000e+02,1.000000000000000000e+00
1.990039419619242381e+03,5.000000000000000000e+00,1.000000000000000000e+00
4.051050196757983457e+01,3.010000000000000000e+02,0.000000000000000000e+00
1.975421707227824299e+03,9.000000000000000000e+00,1.000000000000000000e+00
3.446895527257973413e+01,3.010000000000000000e+02,0.000000000000000000e+00
1.070977841358121623e+03,2.900000000000000000e+02,1.000000000000000000e+00
1.595692235417105167e+03,1.250000000000000000e+02,1.000000000000000000e+00
3.970922478041931214e+01,3.010000000000000000e+02,0.000000000000000000e+00
1.264218378543925837e+03,2.280000000000000000e+02,1.000000000000000000e+00
1.469068597359698288e+03,1.640000000000000000e+02,1.000000000000000000e+00
1.522281224548562477e+03,1.490000000000000000e+02,1.000000000000000000e+00
3.457195819409837156e+01,3.010000000000000000e+02,0.000000000000000000e+00
1.125815854507613722e+03,2.750000000000000000e+02,1.000000000000000000e+00
1.167899284160905381e+03,2.550000000000000000e+02,1.000000000000000000e+00
1.506711421874518010e+03,1.560000000000000000e+02,1.000000000000000000e+00
2.235445538456859538e+01,3.010000000000000000e+02,0.000000000000000000e+00
1.501395653690188510e+03,1.550000000000000000e+02,1.000000000000000000e+00
1.836029210049789981e+03,5.100000000000000000e+01,1.000000000000000000e+00
1.468243856376869871e+03,1.660000000000000000e+02,1.000000000000000000e+00
1.069020976467983473e+03,2.930000000000000000e+02,1.000000000000000000e+00
1.838488682700134177e+03,5.000000000000000000e+01,1.000000000000000000e+00
1.280993627110836087e+03,2.260000000000000000e+02,1.000000000000000000e+00
1.869069582101354854e+03,4.100000000000000000e+01,1.000000000000000000e+00
1.692296744126823114e+03,9.500000000000000000e+01,1.000000000000000000e+00
1.336989950676924991e+03,2.100000000000000000e+02,1.000000000000000000e+00
1.921966997426237867e+03,2.500000000000000000e+01,1.000000000000000000e+00
1.240817538787780450e+03,2.390000000000000000e+02,1.000000000000000000e+00
1.784839133564262738e+03,6.700000000000000000e+01,1.000000000000000000e+00
3.433048884685860003e+01,3.010000000000000000e+02,0.000000000000000000e+00
4.215948563666933779e+01,3.010000000000000000e+02,0.000000000000000000e+00
1.822751174100078288e+03,5.500000000000000000e+01,1.000000000000000000e+00
1.763360754276418220e+03,7.300000000000000000e+01,1.000000000000000000e+00
1.476620650978150024e+03,1.640000000000000000e+02,1.000000000000000000e+00
1.956277191902592222e+03,1.500000000000000000e+01,1.000000000000000000e+00
1.979158209277192555e+03,8.000000000000000000e+00,1.000000000000000000e+00
1.078283312776041384e+03,2.910000000000000000e+02,1.000000000000000000e+00
1.483888282137400665e+03,1.610000000000000000e+02,1.000000000000000000e+00
1.117486355728207627e+03,2.780000000000000000e+02,1.000000000000000000e+00
3.262209272466360233e+01,3.010000000000000000e+02,0.000000000000000000e+00
1.768450772009597358e+03,7.300000000000000000e+01,1.000000000000000000e+00
3.314477681117190855e+01,3.010000000000000000e+02,0.000000000000000000e+00
1.877936981404008293e+03,3.800000000000000000e+01,1.000000000000000000e+00
1.720562676258081410e+03,8.800000000000000000e+01,1.000000000000000000e+00
3.266616753294064779e+01,3.010000000000000000e+02,0.000000000000000000e+00
2.000099999999999909e+03,1.000000000000000000e+00,1.000000000000000000e+00
1.491129077117176621e+03,1.600000000000000000e+02,1.000000000000000000e+00
1.128447689096543854e+03,2.700000000000000000e+02,1.000000000000000000e+00
1.989944827961450073e+03,5.000000000000000000e+00,1.000000000000000000e+00
1.647103667243821064e+03,1.110000000000000000e+02,1.000000000000000000e+00
1.559709073026016540e+03,1.380000000000000000e+02,1.000000000000000000e+00
1.918121202659407118e+03,2.600000000000000000e+01,1.000000000000000000e+00
1.605275564807237743e+03,1.250000000000000000e+02,1.000000000000000000e+00
1.914790222965239082e+03,2.700000000000000000e+01,1.000000000000000000e+00
1.359908934476178956e+03,2.010000000000000000e+02,1.000000000000000000e+00
1.824200324822535322e+03,5.400000000000000000e+01,1.000000000000000000e+00
1.477732922686126813e+03,1.640000000000000000e+02,1.000000000000000000e+00
1.753119627834604898e+03,7.600000000000000000e+01,1.000000000000000000e+00
2.991564098039196651e+01,3.010000000000000000e+02,0.000000000000000000e+00
1.951602734736061848e+03,1.600000000000000000e+01,1.000000000000000000e+00
1.802782780459218202e+03,6.100000000000000000e+01,1.000000000000000000e+00
1.825251540389411957e+03,5.700000000000000000e+01,1.000000000000000000e+00
