rewards,lengths,targets
1.724525871326844140e+01,2.000000000000000000e+02,0.000000000000000000e+00
2.427930293303961307e+01,2.000000000000000000e+02,0.000000000000000000e+00
1.582447136261544784e+01,2.000000000000000000e+02,0.000000000000000000e+00
2.047400666289989246e+01,1.740000000000000000e+02,1.000000000000000000e+00
1.510176814343474661e+01,2.000000000000000000e+02,0.000000000000000000e+00
1.502269152473617098e+01,4.000000000000000000e+00,1.000000000000000000e+00
2.849892159013336368e+01,2.000000000000000000e+02,0.000000000000000000e+00
1.854542907496698811e+00,2.000000000000000000e+02,0.000000000000000000e+00
2.332540922256228200e+01,2.000000000000000000e+02,0.000000000000000000e+00
3.985437694374886064e+01,2.000000000000000000e+02,0.000000000000000000e+00
2.235378022994649427e+01,2.000000000000000000e+02,0.000000000000000000e+00
3.522096826083349441e+01,2.000000000000000000e+02,0.000000000000000000e+00
-1.737104297113427620e+01,2.000000000000000000e+02,0.000000000000000000e+00
6.591284208909546916e-01,2.000000000000000000e+02,0.000000000000000000e+00
1.252730194323845758e+01,2.000000000000000000e+02,0.000000000000000000e+00
1.099620532204400547e+01,2.000000000000000000e+02,0.000000000000000000e+00
1.196997750856351495e+01,2.000000000000000000e+02,0.000000000000000000e+00
7.765746375791134248e+00,2.000000000000000000e+02,0.000000000000000000e+00
2.201617451175938101e+00,2.000000000000000000e+02,0.000000000000000000e+00
1.631076235768495764e+01,7.000000000000000000e+01,1.000000000000000000e+00
2.175515962656923108e+01,2.000000000000000000e+02,0.000000000000000000e+00
6.841081405017998662e+00,2.000000000000000000e+02,0.000000000000000000e+00
2.039273205333960703e+01,1.250000000000000000e+02,1.000000000000000000e+00
1.939579368551484961e+01,2.000000000000000000e+02,0.000000000000000000e+00
3.880557292322240670e+01,8.900000000000000000e+01,1.000000000000000000e+00
1.113998749698520818e+01,2.000000000000000000e+02,0.000000000000000000e+00
-2.547460364217721818e+00,2.000000000000000000e+02,0.000000000000000000e+00
3.013573659744583466e+01,2.000000000000000000e+02,0.000000000000000000e+00
2.453837089491322132e+01,2.000000000000000000e+02,0.000000000000000000e+00
1.015170348555034607e+01,2.000000000000000000e+02,0.000000000000000000e+00
1.835402660500049521e+01,2.000000000000000000e+02,0.000000000000000000e+00
2.266266069130325533e+01,2.000000000000000000e+02,0.000000000000000000e+00
3.173507077983630609e+01,8.200000000000000000e+01,1.000000000000000000e+00
-1.033395941725771827e+01,2.000000000000000000e+02,0.000000000000000000e+00
-5.676536912503172827e-01,2.000000000000000000e+02,0.000000000000000000e+00
1.781642768851765624e+01,2.000000000000000000e+02,0.000000000000000000e+00
2.604937722105965303e+00,2.000000000000000000e+02,0.000000000000000000e+00
2.613667700970323438e+01,2.000000000000000000e+02,0.000000000000000000e+00
1.926656242613671211e+01,2.000000000000000000e+02,0.000000000000000000e+00
6.566052637393960723e+00,2.000000000000000000e+02,0.000000000000000000e+00
3.441825030945666697e+01,1.340000000000000000e+02,1.000000000000000000e+00
1.353707134435397919e+01,2.000000000000000000e+02,0.000000000000000000e+00
2.391233457566601572e+01,2.000000000000000000e+02,0.000000000000000000e+00
3.626596253884527243e+01,2.000000000000000000e+02,0.000000000000000000e+00
4.080397035182507892e+01,1.900000000000000000e+02,1.000000000000000000e+00
